aX,aY,aZ,gX,gY,gZ
0.273,-0.149,2.272,17.761,-95.154,184.509
0.256,-0.007,2.371,35.889,-77.759,189.758
0.262,0.155,2.461,56.274,-59.998,195.19
0.246,0.322,2.479,78.369,-44.067,195.374
0.279,0.464,2.451,97.595,-31.494,187.5
0.331,0.58,2.425,107.483,-17.944,175.415
0.316,0.667,2.386,106.445,1.709,163.818
0.151,0.686,2.309,95.581,25.513,156.189
-0.147,0.75,2.124,54.443,57.251,165.161
-0.121,0.826,2.142,44.861,64.514,167.542
-0.023,0.908,2.219,56.152,64.941,160.217
0.01,1.012,2.264,77.454,65.186,151.733
-0.011,1.069,2.267,96.008,73.914,143.921
-0.053,1.201,2.294,105.591,88.501,138.916
-0.093,1.373,2.325,109.497,103.943,133.911
-0.158,1.583,2.354,109.436,115.479,125.366
-0.243,1.736,2.373,105.286,122.009,115.845
-0.245,1.824,2.403,93.689,121.765,105.591
-0.137,1.789,2.422,77.515,118.591,89.355
