aX,aY,aZ,gX,gY,gZ
-0.5,-1.444,0.536,-19.775,-72.815,60.303
-0.609,-1.835,0.196,-6.653,-88.745,84.045
-0.644,-2.068,0.012,17.944,-102.295,82.703
-0.685,-2.246,-0.147,61.035,-129.395,50.293
-0.652,-2.388,-0.13,117.859,-150.269,-12.146
-0.447,-2.589,0.147,173.462,-142.212,-82.092
-0.203,-2.71,0.685,218.201,-128.357,-144.531
0.219,-2.666,1.293,230.652,-108.215,-203.064
0.801,-2.368,1.803,219.727,-84.412,-257.202
1.285,-1.884,1.791,174.5,-43.701,-268.982
1.425,-1.171,1.783,87.891,21.973,-215.332
1.153,-0.756,1.289,0.61,82.764,-94.604
0.615,-0.739,0.731,-91.492,127.075,35.095
0.088,-0.653,0.381,-151.123,142.517,117.981
-0.397,-0.522,0.104,-164.917,115.967,141.296
-0.591,-0.432,0.058,-137.695,53.406,119.812
-0.629,-0.318,0.136,-94.727,-11.475,75.684
-0.578,-0.219,0.291,-50.903,-52.979,36.011
-0.448,-0.195,0.451,-18.921,-56.824,17.212
-0.412,-0.282,0.536,4.761,-40.161,10.864
-0.375,-0.408,0.66,22.217,-12.573,8.911
-0.281,-0.487,0.744,30.518,11.963,8.301
-0.176,-0.532,0.805,27.527,22.949,10.376
-0.077,-0.533,0.811,16.785,22.522,15.747
0.008,-0.543,0.812,2.747,18.677,20.63
0.071,-0.596,0.769,-9.888,16.296,23.376
0.137,-0.689,0.699,-18.25,16.174,22.949
0.165,-0.771,0.636,-21.851,15.442,21.179
0.167,-0.82,0.597,-22.034,11.169,18.982
0.139,-0.87,0.572,-18.677,3.723,15.808
0.129,-0.915,0.598,-14.709,-4.211,14.282
0.126,-0.905,0.669,-12.573,-14.465,17.7
0.084,-0.842,0.734,-13.672,-25.757,24.414
0.006,-0.841,0.774,-17.334,-31.738,30.823
-0.029,-0.884,0.763,-21.851,-31.067,31.86
0.03,-0.85,0.754,-27.649,-22.095,28.381
0.085,-0.677,0.827,-30.334,-5.31,27.893
0.077,-0.568,0.836,-25.574,10.376,32.898
0.108,-0.465,0.824,-18.25,20.63,38.513
0.111,-0.449,0.824,-9.521,20.63,40.588
0.108,-0.472,0.827,-1.404,10.681,38.635
0.095,-0.485,0.857,2.93,-2.014,34.485
0.094,-0.517,0.888,3.906,-13.916,30.579
0.095,-0.541,0.9,3.296,-23.621,26.245
0.15,-0.493,0.932,2.808,-28.137,22.156
0.221,-0.363,0.998,4.517,-23.682,20.386
0.246,-0.259,1.035,9.094,-12.878,21.79
0.276,-0.178,1.045,14.648,2.319,26.611
0.299,-0.174,1.029,16.968,19.226,34.424
